id,ast,blk,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,game_id,game_date,home_team_id,home_team_score,visitor_team_id,visitor_team_score,min,oreb,pf,player_id,player_first_name,player_last_name,pts,reb,stl,team_id,team_abbreviation,turnover
14055959,4,1,2,0.5,2,1,0.4,15,6,0.875,8,7,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,39,3,3,204,Gordon,Hayward,20,5,1,4,CHA,2
14055960,5,0,15,0.2857143,7,2,0.23076923,13,3,1.0,6,6,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,45,0,1,62,Miles,Bridges,14,15,1,4,CHA,1
14055961,2,3,8,0.0,0,0,0.5714286,14,8,1.0,2,2,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,33,8,4,38017698,Mark,Williams,18,16,1,4,CHA,1
14055962,4,1,3,0.25,4,1,0.33333334,12,4,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,40,4,2,56677823,Brandon,Miller,9,7,2,4,CHA,2
14055963,8,1,7,0.45454547,11,5,0.5555556,27,15,1.0,1,1,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,41,2,5,3547239,LaMelo,Ball,36,9,2,4,CHA,5
14055964,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,17896037,James,Bouknight,0,0,0,4,CHA,0
14055965,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,3547253,Theo,Maledon,0,0,0,4,CHA,0
14055966,2,0,2,0.16666667,6,1,0.16666667,6,1,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,14,0,1,38017708,Bryce,McGowens,3,2,0,4,CHA,1
14055967,3,0,2,0.0,0,0,0.75,4,3,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,20,0,0,422,Ish,Smith,6,2,0,4,CHA,1
14055968,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,56677846,Nick,Smith Jr.,0,0,0,4,CHA,0
14055969,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,05,0,1,18678001,JT,Thor,0,0,0,4,CHA,0
14055970,1,1,1,0.33333334,9,3,0.46153846,13,6,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,28,0,1,666950,P.J.,Washington,15,1,2,4,CHA,0
14055971,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,56677848,Amari,Bailey,0,0,0,4,CHA,0
14055972,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,56677866,Leaky,Black,0,0,0,4,CHA,0
14055973,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,666748,Cody,Martin,0,0,0,4,CHA,0
14055974,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,347,Frank,Ntilikina,0,0,0,4,CHA,0
14055975,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,3547282,Nick,Richards,0,0,0,4,CHA,0
14055976,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,403,Terry,Rozier,0,0,0,4,CHA,0
14055981,1,0,1,0.11111111,9,1,0.11111111,9,1,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,38,0,3,17896060,Sam,Hauser,3,1,0,2,BOS,1
14055978,6,2,13,0.46666667,15,7,0.53571427,28,15,0.8,10,8,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,44,0,1,434,Jayson,Tatum,45,13,0,2,BOS,3
14055979,0,3,5,0.125,8,1,0.35714287,14,5,0.6,10,6,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,34,3,2,378,Kristaps,Porzingis,17,8,2,2,BOS,0
14055977,3,0,3,0.0,5,0,0.29411766,17,5,0.75,4,3,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,34,1,5,70,Jaylen,Brown,13,4,0,2,BOS,2
14055980,5,2,3,0.33333334,3,1,0.45454547,11,5,0.0,2,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,37,3,1,214,Jrue,Holiday,11,6,1,2,BOS,7
14055982,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,17896094,Dalano,Banton,0,0,0,2,BOS,0
14055983,1,0,5,0.0,0,0,0.0,0,0,0.5,2,1,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,17,2,2,666468,Oshae,Brissett,1,7,0,2,BOS,0
14055959,4,1,2,0.5,2,1,0.4,15,6,0.875,8,7,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,39,3,3,204,Gordon,Hayward,20,5,1,4,CHA,2
14055960,5,0,15,0.2857143,7,2,0.23076923,13,3,1.0,6,6,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,45,0,1,62,Miles,Bridges,14,15,1,4,CHA,1
14055961,2,3,8,0.0,0,0,0.5714286,14,8,1.0,2,2,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,33,8,4,38017698,Mark,Williams,18,16,1,4,CHA,1
14055962,4,1,3,0.25,4,1,0.33333334,12,4,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,40,4,2,56677823,Brandon,Miller,9,7,2,4,CHA,2
14055963,8,1,7,0.45454547,11,5,0.5555556,27,15,1.0,1,1,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,41,2,5,3547239,LaMelo,Ball,36,9,2,4,CHA,5
14055964,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,17896037,James,Bouknight,0,0,0,4,CHA,0
14055965,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,00,0,0,3547253,Theo,Maledon,0,0,0,4,CHA,0
14055966,2,0,2,0.16666667,6,1,0.16666667,6,1,0.0,0,0,1037786,2023-11-20T00:00:00.000Z,4,121,2,118,14,0,1,38017708,Bryce,McGowens,3,2,0,4,CHA,1
